Title,Concrete,Abstract,Relational,Concrete Proportion,Abstract Proportion,Relational Proportion
The Lopez Family Mystery,41,33,39,0.8913,0.6471,0.9286
A Celebration to Remember,30,28,25,0.3797,0.3733,0.3425
How Objects Move,36,37,37,0.5455,0.5362,0.5522
The Best Farm,22,26,14,0.449,0.4815,0.2857
Native American Homes,44,46,47,0.5057,0.5111,0.5341
Natural Disasters,38,40,43,0.5507,0.5797,0.7049
The Circulatory System,33,41,45,0.541,0.6406,0.7258
