Title,Concrete,Abstract,Relational,Concrete Proportion,Abstract Proportion,Relational Proportion
The Best Farm,10,9,1,0.2041,0.1667,0.0204
Natural Disasters,2,0,5,0.029,0.0,0.082
The Circulatory System,0,0,0,0.0,0.0,0.0
The Lopez Family Mystery,4,8,2,0.087,0.1569,0.0476
A Celebration to Remember,0,0,2,0.0,0.0,0.0274
How Objects Move,4,0,0,0.0606,0.0,0.0
Native American Homes,8,12,2,0.092,0.1333,0.0227
