Title,Concrete,Abstract,Relational,Concrete Proportion,Abstract Proportion,Relational Proportion
Natural Disasters,2,0,1,0.029,0.0,0.0164
Native American Homes,1,10,0,0.0115,0.1111,0.0
The Best Farm,4,3,4,0.0816,0.0556,0.0816
The Lopez Family Mystery,3,3,2,0.0652,0.0588,0.0476
The Circulatory System,1,0,1,0.0164,0.0,0.0161
A Celebration to Remember,2,2,2,0.0253,0.0267,0.0274
How Objects Move,0,0,0,0.0,0.0,0.0
