Title,Concrete,Abstract,Relational,Concrete Proportion,Abstract Proportion,Relational Proportion
The Lopez Family Mystery,0,0,0,0.0,0.0,0.0
A Celebration to Remember,0,0,0,0.0,0.0,0.0
How Objects Move,32,32,33,0.4848,0.4638,0.4925
The Best Farm,0,0,0,0.0,0.0,0.0
Native American Homes,42,46,46,0.4828,0.5111,0.5227
Natural Disasters,30,30,31,0.4348,0.4348,0.5082
The Circulatory System,33,34,34,0.541,0.5312,0.5484
