Title,Concrete,Abstract,Relational,Concrete Proportion,Abstract Proportion,Relational Proportion
Native American Homes,0,0,0,0.0,0.0,0.0
The Circulatory System,0,1,0,0.0,0.0156,0.0
Natural Disasters,0,0,0,0.0,0.0,0.0
The Best Farm,0,2,3,0.0,0.037,0.0612
How Objects Move,0,0,0,0.0,0.0,0.0
A Celebration to Remember,0,0,0,0.0,0.0,0.0
The Lopez Family Mystery,0,2,0,0.0,0.0392,0.0
