Title,Concrete,Abstract,Relational,Concrete Proportion,Abstract Proportion,Relational Proportion
A Celebration to Remember,0,0,0,0.0,0.0,0.0
Natural Disasters,0,0,0,0.0,0.0,0.0
The Circulatory System,0,0,0,0.0,0.0,0.0
The Lopez Family Mystery,0,0,0,0.0,0.0,0.0
Native American Homes,0,0,0,0.0,0.0,0.0
How Objects Move,0,0,0,0.0,0.0,0.0
The Best Farm,0,0,0,0.0,0.0,0.0
