Title,Concrete,Abstract,Relational,Concrete Proportion,Abstract Proportion,Relational Proportion
Native American Homes,0,2,0,0.0,0.0222,0.0
The Circulatory System,2,2,0,0.0328,0.0312,0.0
Natural Disasters,0,0,0,0.0,0.0,0.0
The Best Farm,17,6,5,0.3469,0.1111,0.102
How Objects Move,0,0,0,0.0,0.0,0.0
A Celebration to Remember,0,0,1,0.0,0.0,0.0137
The Lopez Family Mystery,5,4,1,0.1087,0.0784,0.0238
