Title,Concrete,Abstract,Relational,Concrete Proportion,Abstract Proportion,Relational Proportion
Natural Disasters,2,40,4,0.029,0.5797,0.0656
Native American Homes,131,150,171,1.5057,1.6667,1.9432
The Best Farm,102,102,105,2.0816,1.8889,2.1429
The Lopez Family Mystery,3,3,7,0.0652,0.0588,0.1667
The Circulatory System,1,4,1,0.0164,0.0625,0.0161
A Celebration to Remember,8,5,5,0.1013,0.0667,0.0685
How Objects Move,2,5,2,0.0303,0.0725,0.0299
