Selection,Action,Concrete,Abstract,Relational,ReaderInProgress,LanguageInProgress
Button,Start Session,,,,,
PDashboardEvent,No_User_Action,,,,,
copying_participant_data,ds999.json,,,,,
open_modal,Page Loading,,,,,
time,19:51:20,,,,,
message_name,Page Loading,,,,,
button_clicked,"?Okey, entiendo!",,,,,
toggle_language,ES,,,,,
time,19:51:21,,,,,
toggle_language,EN,,,,,
time,19:51:27,,,,,
time,19:53:03,,,,,
time,19:53:05,,,,,
time,19:53:06,,,,,
